Goal,Target,Probability,
SDG 1,SDG 1.1,0.0084932,
SDG 1,SDG 1.2,0.0084100,
SDG 1,SDG 1.3,0.0084034,
SDG 1,SDG 1.4,0.0084034,
SDG 1,SDG 1.5,0.0084034,
SDG 1,SDG 1.a,0.0084034,
SDG 1,SDG 1.b,0.0084034,
SDG 2,SDG 2.1,0.0073529,
SDG 2,SDG 2.2,0.0073529,
SDG 2,SDG 2.3,0.0073529,
SDG 2,SDG 2.4,0.0073529,
SDG 2,SDG 2.5,0.0073529,
SDG 2,SDG 2.a,0.0073529,
SDG 2,SDG 2.b,0.0073529,
SDG 2,SDG 2.c,0.0073529,
SDG 3,SDG 3.1,0.0045249,
SDG 3,SDG 3.2,0.0045249,
SDG 3,SDG 3.3,0.0045249,
SDG 3,SDG 3.4,0.0045249,
SDG 3,SDG 3.5,0.0045249,
SDG 3,SDG 3.6,0.0045249,
SDG 3,SDG 3.7,0.0045249,
SDG 3,SDG 3.8,0.0045249,
SDG 3,SDG 3.9,0.0045249,
SDG 3,SDG 3.a,0.0045249,
SDG 3,SDG 3.b,0.0045249,
SDG 3,SDG 3.c,0.0045249,
SDG 3,SDG 3.d,0.0059249,
SDG 4,SDG 4.1,0.0058824,
SDG 4,SDG 4.2,0.0058824,
SDG 4,SDG 4.3,0.0058824,
SDG 4,SDG 4.4,0.0058824,
SDG 4,SDG 4.5,0.0058824,
SDG 4,SDG 4.6,0.0058824,
SDG 4,SDG 4.7,0.0058824,
SDG 4,SDG 4.a,0.0058824,
SDG 4,SDG 4.b,0.0058824,
SDG 4,SDG 4.c,0.0058824,
SDG 5,SDG 5.1,0.0065359,
SDG 5,SDG 5.2,0.0065359,
SDG 5,SDG 5.3,0.0065359,
SDG 5,SDG 5.4,0.0065359,
SDG 5,SDG 5.5,0.0065359,
SDG 5,SDG 5.6,0.0065359,
SDG 5,SDG 5.a,0.0065359,
SDG 5,SDG 5.b,0.0065359,
SDG 5,SDG 5.c,0.0065359,
SDG 6,SDG 6.1,0.0073529,
SDG 6,SDG 6.2,0.0073529,
SDG 6,SDG 6.3,0.0073529,
SDG 6,SDG 6.4,0.0073529,
SDG 6,SDG 6.5,0.0073529,
SDG 6,SDG 6.6,0.0073529,
SDG 6,SDG 6.a,0.0073529,
SDG 6,SDG 6.b,0.0073529,
SDG 7,SDG 7.1,0.0117647,
SDG 7,SDG 7.2,0.0117647,
SDG 7,SDG 7.3,0.0117647,
SDG 7,SDG 7.a,0.0117647,
SDG 7,SDG 7.b,0.0117647,
SDG 8,SDG 8.1,0.0049020,
SDG 8,SDG 8.2,0.0049020,
SDG 8,SDG 8.3,0.0049020,
SDG 8,SDG 8.4,0.0049020,
SDG 8,SDG 8.5,0.0049020,
SDG 8,SDG 8.6,0.0049020,
SDG 8,SDG 8.7,0.0049020,
SDG 8,SDG 8.8,0.0049020,
SDG 8,SDG 8.9,0.0049020,
SDG 8,SDG 8.10,0.0049020,
SDG 8,SDG 8.a,0.0049020,
SDG 8,SDG 8.b,0.0049020,
SDG 9,SDG 9.1,0.0073529,
SDG 9,SDG 9.2,0.0073529,
SDG 9,SDG 9.3,0.0073529,
SDG 9,SDG 9.4,0.0073529,
SDG 9,SDG 9.5,0.0073529,
SDG 9,SDG 9.a,0.0073529,
SDG 9,SDG 9.b,0.0073529,
SDG 9,SDG 9.c,0.0073529,
SDG 10,SDG 10.1,0.0058824,
SDG 10,SDG 10.2,0.0058824,
SDG 10,SDG 10.3,0.0058824,
SDG 10,SDG 10.4,0.0058824,
SDG 10,SDG 10.5,0.0058824,
SDG 10,SDG 10.6,0.0058824,
SDG 10,SDG 10.7,0.0088824,
SDG 10,SDG 10.a,0.0088824,
SDG 10,SDG 10.b,0.0088824,
SDG 10,SDG 10.c,0.0088824,
SDG 11,SDG 11.1,0.0088824,
SDG 11,SDG 11.2,0.0058824,
SDG 11,SDG 11.3,0.0058824,
SDG 11,SDG 11.4,0.0058824,
SDG 11,SDG 11.5,0.0073824,
SDG 11,SDG 11.6,0.0058824,
SDG 11,SDG 11.7,0.0058824,
SDG 11,SDG 11.a,0.0058824,
SDG 11,SDG 11.b,0.0058824,
SDG 11,SDG 11.c,0.0073824,
SDG 12,SDG 12.1,0.0053476,
SDG 12,SDG 12.2,0.0053476,
SDG 12,SDG 12.3,0.0053476,
SDG 12,SDG 12.4,0.0068476,
SDG 12,SDG 12.5,0.0053476,
SDG 12,SDG 12.6,0.0053476,
SDG 12,SDG 12.7,0.0068476,
SDG 12,SDG 12.8,0.0068476,
SDG 12,SDG 12.a,0.0053476,
SDG 12,SDG 12.b,0.0053476,
SDG 12,SDG 12.c,0.0053476,
SDG 13,SDG 13.1,0.0132647,
SDG 13,SDG 13.2,0.0132647,
SDG 13,SDG 13.3,0.0117647,
SDG 13,SDG 13.a,0.0117647,
SDG 13,SDG 13.b,0.0117647,
SDG 14,SDG 14.1,0.0073824,
SDG 14,SDG 14.2,0.0058824,
SDG 14,SDG 14.3,0.0058824,
SDG 14,SDG 14.4,0.0058824,
SDG 14,SDG 14.5,0.0058824,
SDG 14,SDG 14.6,0.0058824,
SDG 14,SDG 14.7,0.0073824,
SDG 14,SDG 14.a,0.0073824,
SDG 14,SDG 14.b,0.0073824,
SDG 14,SDG 14.c,0.0073824,
SDG 15,SDG 15.1,0.0049020,
SDG 15,SDG 15.2,0.0049020,
SDG 15,SDG 15.3,0.0049020,
SDG 15,SDG 15.4,0.0049020,
SDG 15,SDG 15.5,0.0049020,
SDG 15,SDG 15.6,0.0049020,
SDG 15,SDG 15.7,0.0049020,
SDG 15,SDG 15.8,0.0049020,
SDG 15,SDG 15.9,0.0049020,
SDG 15,SDG 15.a,0.0049020,
SDG 15,SDG 15.b,0.0049020,
SDG 15,SDG 15.c,0.0064020,
SDG 16,SDG 16.1,0.0049020,
SDG 16,SDG 16.2,0.0049020,
SDG 16,SDG 16.3,0.0049020,
SDG 16,SDG 16.4,0.0049020,
SDG 16,SDG 16.5,0.0049020,
SDG 16,SDG 16.6,0.0049020,
SDG 16,SDG 16.7,0.0049028,
SDG 16,SDG 16.8,0.0049020,
SDG 16,SDG 16.9,0.0064020,
SDG 16,SDG 16.10,0.0049020,
SDG 16,SDG 16.a,0.0049020,
SDG 16,SDG 16.b,0.0054020,
SDG 17,SDG 17.1,0.0010960,0.0005960
SDG 17,SDG 17.2,0.0010960,0.0005960
SDG 17,SDG 17.3,0.0010960,0.0005960
SDG 17,SDG 17.4,0.0010960,0.0005960
SDG 17,SDG 17.5,0.0010960,0.0005960
SDG 17,SDG 17.6,0.0010960,0.0005960
SDG 17,SDG 17.7,0.0010960,0.0005960
SDG 17,SDG 17.8,0.0010960,0.0005960
SDG 17,SDG 17.9,0.0010960,0.0005960
SDG 17,SDG 17.10,0.0010960,0.0005960
SDG 17,SDG 17.11,0.0010960,0.0005960
SDG 17,SDG 17.12,0.0010960,0.0005960
SDG 17,SDG 17.13,0.0010960,0.0005960
SDG 17,SDG 17.14,0.0010960,0.0005960
SDG 17,SDG 17.15,0.0010960,0.0005960
SDG 17,SDG 17.16,0.0010960,0.0005960
SDG 17,SDG 17.17,0.0010960,0.0005960
SDG 17,SDG 17.18,0.0010960,0.0005960
SDG 17,SDG 17.19,0.0010960,0.0005960
